Network Diameter: 16
0	8	( 704 800 859 861 932 945 )
1	9	( 704 800 859 861 945 )
2	9	( 704 800 859 861 945 )
3	9	( 704 800 859 861 932 945 )
4	9	( 704 800 859 861 932 945 )
5	10	( 704 800 859 861 945 )
6	9	( 704 800 859 861 932 945 )
7	10	( 704 800 859 861 945 )
8	9	( 704 861 932 )
9	9	( 800 859 932 945 )
10	9	( 704 800 859 861 932 945 )
11	10	( 704 800 859 861 945 )
12	9	( 704 800 859 861 932 945 )
13	10	( 704 800 859 861 945 )
14	10	( 704 800 859 861 932 945 )
15	10	( 800 859 932 945 )
16	9	( 704 800 859 861 932 945 )
17	9	( 704 800 859 861 932 945 )
18	9	( 704 800 859 861 932 945 )
19	9	( 704 800 859 861 932 945 )
20	10	( 704 800 859 861 932 945 )
21	9	( 704 800 859 861 932 945 )
22	9	( 704 800 859 861 932 945 )
23	10	( 704 861 932 )
24	9	( 704 800 859 861 932 945 )
25	9	( 704 800 859 861 932 945 )
26	10	( 704 800 859 861 932 945 )
27	10	( 704 800 859 861 932 945 )
28	11	( 704 800 859 861 932 945 )
29	9	( 704 800 859 861 932 945 )
30	10	( 704 800 859 861 945 )
31	10	( 704 861 932 )
32	10	( 704 800 859 861 932 945 )
33	9	( 704 800 859 861 932 945 )
34	10	( 704 861 932 )
35	10	( 704 800 859 861 932 945 )
36	9	( 704 800 859 861 932 945 )
37	9	( 704 800 859 861 932 945 )
38	10	( 704 861 932 )
39	10	( 704 800 859 861 932 945 )
40	10	( 704 800 859 861 932 945 )
41	10	( 704 861 932 )
42	10	( 704 800 859 861 932 945 )
43	11	( 704 800 859 861 932 945 )
44	11	( 800 859 932 945 )
45	11	( 704 800 859 861 945 )
46	11	( 704 861 932 )
47	10	( 704 800 859 861 945 )
48	9	( 704 800 859 861 932 945 )
49	11	( 704 861 932 )
50	9	( 704 800 859 861 932 945 )
51	10	( 704 800 859 861 932 945 )
52	11	( 704 861 932 )
53	10	( 704 800 859 861 932 945 )
54	10	( 704 800 859 861 932 945 )
55	10	( 704 800 859 861 932 945 )
56	10	( 704 861 932 )
57	10	( 704 800 859 861 932 945 )
58	9	( 704 800 859 861 932 945 )
59	10	( 704 800 859 861 932 945 )
60	10	( 704 800 859 861 945 )
61	11	( 704 800 859 861 932 945 )
62	11	( 704 861 932 )
63	11	( 704 800 859 861 932 945 )
64	10	( 704 800 859 861 932 945 )
65	10	( 704 800 859 861 932 945 )
66	9	( 704 800 859 861 932 945 )
67	10	( 704 861 932 )
68	11	( 704 800 859 861 932 945 )
69	10	( 704 800 859 861 945 )
70	11	( 704 800 859 861 932 945 )
71	10	( 704 800 859 861 932 945 )
72	9	( 704 800 859 861 932 945 )
73	11	( 704 800 859 861 932 945 )
74	10	( 704 800 859 861 932 945 )
75	10	( 704 861 932 )
76	10	( 704 800 859 861 932 945 )
77	10	( 704 800 859 861 945 )
78	10	( 704 800 859 861 945 )
79	10	( 704 800 859 861 932 945 )
80	10	( 704 861 932 )
81	11	( 704 861 932 )
82	12	( 800 859 932 945 )
83	9	( 704 800 859 861 932 945 )
84	10	( 704 800 859 861 932 945 )
85	11	( 704 861 932 )
86	13	( 800 859 932 945 )
87	10	( 704 861 932 )
88	11	( 704 800 859 861 932 945 )
89	10	( 704 800 859 861 932 945 )
90	11	( 704 861 932 )
91	10	( 704 861 932 )
92	11	( 704 800 859 861 945 )
93	11	( 704 861 932 )
94	10	( 704 800 859 861 945 )
95	12	( 704 800 859 861 932 945 )
96	11	( 704 861 932 )
97	10	( 704 800 859 861 932 945 )
98	12	( 704 861 932 )
